species	domain	phylum	class	order	family	genus
Gemella morbillorum	Bacteria	Bacillota	Bacilli	Caryophanales	Gemellaceae	Gemella
Campylobacter concisus	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Corynebacterium lipophile_group_F1	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Haemophilus sputorum		Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
Parabacteroides distasonis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Brevibacterium paucivorans	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Brevibacteriaceae	Brevibacterium
Atopobium parvulum	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella
Clostridium clostridioforme	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Solobacterium moorei	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
Peptoniphilus coxii	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus
Dialister pneumosintes	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister
Clostridium subterminale	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Streptococcus salivarius_ssp_thermophilus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Staphylococcus pseudintermedius	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Aggregatibacter actinomycetemcomitans	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
Trichophyton tonsurans	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton
Trichophyton rubrum	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton
